alphas.0	alphas.1	alphau.0	alphau.1	q
1.125086	0.375259	13.596772	0.169473	0.531054
1.125083	0.375259	13.596772	0.169474	0.523518
1.125080	0.375259	13.596772	0.169474	0.517229
1.125082	0.375260	11.247565	0.169474	0.468826
1.125081	0.375260	11.319809	0.169474	0.581940
1.125083	0.375260	12.659173	0.169473	0.511284
1.125089	0.375260	12.659173	0.169474	0.479852
1.125084	0.375259	11.788892	0.169473	0.547167
1.125085	0.375259	13.285065	0.169474	0.527192
1.125084	0.375260	13.285065	0.169474	0.498196
1.125081	0.375259	13.285065	0.169474	0.553797
1.125078	0.375260	13.285065	0.169474	0.560373
1.125079	0.375260	13.821570	0.169474	0.487732
1.125077	0.375260	13.821570	0.169474	0.518048
1.125083	0.375260	13.821570	0.169474	0.523832
1.125088	0.375259	13.821570	0.169474	0.547152
1.125091	0.375258	13.821570	0.169474	0.424732
1.125090	0.375259	13.623593	0.169474	0.553203
1.125084	0.375259	13.401135	0.169474	0.543516
1.125088	0.375259	13.401135	0.169474	0.531453
1.125083	0.375260	13.041579	0.169474	0.530241
1.125078	0.375260	13.041579	0.169475	0.579038
1.125085	0.375260	13.862254	0.169475	0.463369
1.125088	0.375261	12.442352	0.169475	0.495418
1.125086	0.375261	12.442352	0.169475	0.488176
1.125090	0.375260	11.608452	0.169475	0.573968
1.125086	0.375262	11.220951	0.169475	0.549870
1.125095	0.375262	11.137550	0.169475	0.506363
1.125085	0.375261	11.137550	0.169475	0.470842
1.125084	0.375261	11.137550	0.169475	0.563764
1.125083	0.375259	10.249129	0.169475	0.588702
1.125087	0.375260	13.673276	0.169475	0.489201
1.125085	0.375258	13.673276	0.169475	0.529491
1.125083	0.375258	13.673276	0.169475	0.457236
1.125086	0.375258	10.022864	0.169475	0.544687
1.125091	0.375258	11.163227	0.169475	0.486971
1.125087	0.375256	12.166929	0.169475	0.543730
1.125085	0.375256	10.040794	0.169475	0.534278
1.125083	0.375256	10.040794	0.169475	0.433358
1.125089	0.375257	14.269176	0.169475	0.504584
1.125081	0.375258	13.712026	0.169475	0.480045
1.125088	0.375258	14.888354	0.169475	0.531923
1.125083	0.375258	14.888354	0.169474	0.555800
1.125091	0.375258	13.097346	0.169474	0.574645
1.125091	0.375259	13.097346	0.169474	0.519944
1.125089	0.375259	16.978291	0.169474	0.550601
1.125091	0.375259	16.582345	0.169474	0.548725
1.125086	0.375258	15.547387	0.169474	0.517022
1.125088	0.375258	15.547387	0.169474	0.539894
1.125084	0.375257	15.547387	0.169474	0.565896
1.125073	0.375257	12.063376	0.169474	0.481430
1.125076	0.375257	12.063376	0.169474	0.536848
1.125087	0.375258	12.063376	0.169474	0.542066
1.125086	0.375258	13.223867	0.169474	0.470029
1.125092	0.375257	11.889601	0.169474	0.582789
1.125090	0.375257	12.443565	0.169474	0.547926
1.125096	0.375257	12.346825	0.169474	0.507311
1.125103	0.375256	12.810982	0.169474	0.466381
1.125109	0.375257	12.810982	0.169473	0.527541
1.125107	0.375256	10.207584	0.169474	0.553383
1.125109	0.375256	10.207584	0.169474	0.495273
1.125115	0.375255	10.207584	0.169473	0.538332
1.125109	0.375254	15.494785	0.169473	0.513502
1.125107	0.375255	15.494785	0.169473	0.548933
1.125101	0.375255	11.521490	0.169473	0.497733
1.125101	0.375256	11.521490	0.169473	0.502388
1.125104	0.375255	13.012367	0.169473	0.529826
1.125105	0.375256	13.012367	0.169473	0.499878
1.125103	0.375256	10.850610	0.169473	0.572010
1.125107	0.375256	13.563409	0.169473	0.496640
1.125106	0.375256	13.563409	0.169472	0.496499
1.125106	0.375256	13.485285	0.169472	0.556447
1.125100	0.375257	15.180689	0.169472	0.590304
1.125099	0.375257	15.180689	0.169472	0.492378
1.125094	0.375257	14.956005	0.169472	0.479726
1.125101	0.375259	15.557917	0.169472	0.519482
1.125106	0.375259	17.463919	0.169472	0.530647
1.125106	0.375260	12.640759	0.169472	0.505847
1.125102	0.375259	13.408691	0.169472	0.472247
1.125113	0.375259	12.704548	0.169472	0.524852
1.125123	0.375259	12.704548	0.169472	0.476210
1.125117	0.375259	12.704548	0.169472	0.514467
1.125115	0.375259	11.282378	0.169472	0.541073
1.125118	0.375258	11.282378	0.169473	0.493645
1.125113	0.375259	11.282378	0.169472	0.546436
1.125124	0.375260	11.596389	0.169473	0.516759
1.125123	0.375261	11.596389	0.169472	0.508574
1.125129	0.375260	12.093213	0.169472	0.488763
1.125139	0.375261	15.319699	0.169473	0.483910
1.125139	0.375261	13.058926	0.169473	0.518276
1.125135	0.375261	12.160505	0.169472	0.534195
1.125129	0.375260	12.160505	0.169473	0.528400
1.125134	0.375260	12.160505	0.169473	0.536472
1.125132	0.375261	8.728909	0.169473	0.595208
1.125130	0.375262	8.728909	0.169473	0.521134
1.125132	0.375261	9.061175	0.169472	0.569492
1.125139	0.375262	9.093748	0.169472	0.582846
1.125130	0.375262	10.168825	0.169472	0.489298
1.125131	0.375261	11.189336	0.169473	0.533492
1.125133	0.375262	12.271212	0.169472	0.549911
1.125135	0.375262	11.960988	0.169473	0.509386
1.125137	0.375262	8.578122	0.169473	0.507468
1.125136	0.375263	8.578122	0.169472	0.487453
1.125143	0.375262	8.578122	0.169473	0.422760
1.125141	0.375262	8.862561	0.169473	0.521831
1.125141	0.375262	8.862561	0.169473	0.534351
1.125146	0.375263	8.164756	0.169473	0.534994
1.125147	0.375263	11.298689	0.169472	0.505135
1.125136	0.375263	11.298689	0.169473	0.564950
1.125146	0.375263	11.298689	0.169473	0.551993
1.125146	0.375264	11.298689	0.169473	0.472466
1.125142	0.375263	11.298689	0.169473	0.583395
1.125136	0.375262	14.950400	0.169473	0.581402
1.125137	0.375261	14.950400	0.169473	0.433636
1.125135	0.375260	14.950400	0.169473	0.533700
1.125136	0.375260	10.616545	0.169473	0.564379
1.125136	0.375260	9.712109	0.169473	0.502560
1.125140	0.375261	13.354760	0.169473	0.535123
1.125140	0.375260	16.185268	0.169473	0.542529
1.125141	0.375261	16.185268	0.169472	0.516744
1.125153	0.375262	14.353783	0.169473	0.580038
1.125152	0.375262	14.353783	0.169472	0.439196
1.125136	0.375262	12.848532	0.169472	0.521203
1.125127	0.375261	12.848532	0.169473	0.484201
1.125123	0.375261	11.398005	0.169473	0.495947
1.125126	0.375261	11.398005	0.169472	0.495797
1.125122	0.375261	11.715581	0.169472	0.527366
1.125118	0.375262	14.028127	0.169472	0.509910
1.125122	0.375262	14.028127	0.169472	0.538975
1.125121	0.375263	14.290160	0.169472	0.505617
1.125120	0.375263	15.185528	0.169472	0.543795
1.125116	0.375264	14.216058	0.169472	0.518276
1.125105	0.375264	14.216058	0.169473	0.480926
1.125101	0.375263	12.460296	0.169472	0.568785
1.125103	0.375262	12.460296	0.169472	0.608407
1.125100	0.375261	12.460296	0.169472	0.514157
1.125092	0.375261	11.554890	0.169472	0.518117
1.125096	0.375261	12.004584	0.169472	0.466664
1.125091	0.375261	12.004584	0.169472	0.497759
1.125087	0.375260	12.679007	0.169472	0.525208
1.125096	0.375260	13.962757	0.169472	0.525518
1.125097	0.375260	13.962757	0.169472	0.529958
1.125101	0.375259	14.916525	0.169472	0.559461
1.125106	0.375259	14.916525	0.169472	0.486416
1.125107	0.375259	14.593071	0.169473	0.507600
